Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; U.S. Counties; 2009
Data downloaded on 12-November-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Autauga County,Alabama,01001,11.7,9.2,14.7
Baldwin County,Alabama,01003,9.9,8.5,11.5
Barbour County,Alabama,01005,13.2,10.7,15.9
Bibb County,Alabama,01007,11.2,8.9,14
Blount County,Alabama,01009,11.5,9,14.6
Bullock County,Alabama,01011,15.6,12.2,19.6
Butler County,Alabama,01013,14.6,11.9,17.5
Calhoun County,Alabama,01015,12.9,11.1,14.8
Chambers County,Alabama,01017,14.2,11.5,17.2
Cherokee County,Alabama,01019,11.2,8.6,14.5
Chilton County,Alabama,01021,11.1,8.7,13.9
Choctaw County,Alabama,01023,14.3,11.7,17.1
Clarke County,Alabama,01025,12.9,10.5,15.8
Clay County,Alabama,01027,12.7,9.9,16
Cleburne County,Alabama,01029,11.1,8.5,14.3
Coffee County,Alabama,01031,12.5,10.1,15.3
Colbert County,Alabama,01033,11.7,9.6,14.1
Conecuh County,Alabama,01035,14.1,11.1,17.3
Coosa County,Alabama,01037,12.8,9.8,16.2
Covington County,Alabama,01039,10.9,8.6,13.6
Crenshaw County,Alabama,01041,12.2,9.4,15.3
Cullman County,Alabama,01043,11.9,9.3,14.9
Dale County,Alabama,01045,12.6,10.2,15.6
Dallas County,Alabama,01047,14.2,12.1,16.5
Dekalb County,Alabama,01049,10.3,8.1,13
Elmore County,Alabama,01051,11.8,9.5,14.3
Escambia County,Alabama,01053,12.1,10,14.3
Etowah County,Alabama,01055,11.8,9.9,14
Fayette County,Alabama,01057,12.2,9.7,15.3
Franklin County,Alabama,01059,13.3,10.7,16.7
Geneva County,Alabama,01061,12,9.4,15
Greene County,Alabama,01063,16.2,12.7,20.1
Hale County,Alabama,01065,14,11.3,17
Henry County,Alabama,01067,12.8,10.2,15.6
Houston County,Alabama,01069,11.2,9.4,13.1
Jackson County,Alabama,01071,12,9.4,15.2
Jefferson County,Alabama,01073,11.7,10.5,12.9
Lamar County,Alabama,01075,11.1,8.5,14.1
Lauderdale County,Alabama,01077,12.2,10.4,14.5
Lawrence County,Alabama,01079,12.4,9.7,15.6
Lee County,Alabama,01081,11.3,9,13.7
Limestone County,Alabama,01083,10,7.8,12.6
Lowndes County,Alabama,01085,16.4,13.3,19.9
Macon County,Alabama,01087,14.2,11.3,17.4
Madison County,Alabama,01089,11.2,9.7,12.8
Marengo County,Alabama,01091,14.8,12.6,17.3
Marion County,Alabama,01093,10.6,8.2,13.1
Marshall County,Alabama,01095,10.9,8.6,13.6
Mobile County,Alabama,01097,11.6,10.4,12.8
Monroe County,Alabama,01099,12.2,9.8,14.9
Montgomery County,Alabama,01101,13.5,11.8,15.4
Morgan County,Alabama,01103,10.2,8.1,12.8
Perry County,Alabama,01105,17.8,14.3,21.8
Pickens County,Alabama,01107,13.9,11.1,17
Pike County,Alabama,01109,15,12.2,18.2
