County,State,Value,Category Range,Year
Abbeville,SC,177.9,172.4 - 215.1 (641),2016-2018
Acadia,LA,283.1,263.4 - 329.2 (643),2016-2018
Accomack,VA,190.2,172.4 - 215.1 (641),2016-2018
Ada,ID,170.4,37.8 - 172.3 (647),2016-2018
Adair,IA,164.1,37.8 - 172.3 (647),2016-2018
Adair,KY,190.1,172.4 - 215.1 (641),2016-2018
Adair,MO,301.8,263.4 - 329.2 (643),2016-2018
Adair,OK,541.6,329.3 - 1136.3 (644),2016-2018
Adams,ND,108.7,37.8 - 172.3 (647),2016-2018
Adams,NE,154.8,37.8 - 172.3 (647),2016-2018
Adams,IA,155.8,37.8 - 172.3 (647),2016-2018
Adams,ID,179,172.4 - 215.1 (641),2016-2018
Adams,IL,207.3,172.4 - 215.1 (641),2016-2018
Adams,CO,224.6,215.2 - 263.3 (645),2016-2018
Adams,PA,225,215.2 - 263.3 (645),2016-2018
Adams,IN,277.9,263.4 - 329.2 (643),2016-2018
Adams,OH,330.4,329.3 - 1136.3 (644),2016-2018
Adams,WI,403.3,329.3 - 1136.3 (644),2016-2018
Adams,WA,412.4,329.3 - 1136.3 (644),2016-2018
Adams,MS,419.4,329.3 - 1136.3 (644),2016-2018
Addison,VT,269.6,263.4 - 329.2 (643),2016-2018
Adjuntas,PR,294.8,263.4 - 329.2 (643),2016-2018
Aguada,PR,328.8,263.4 - 329.2 (643),2016-2018
Aguadilla,PR,360.6,329.3 - 1136.3 (644),2016-2018
Aguas Buenas,PR,329,263.4 - 329.2 (643),2016-2018
Aibonito,PR,267.9,263.4 - 329.2 (643),2016-2018
Aiken,SC,203.8,172.4 - 215.1 (641),2016-2018
Aitkin,MN,308.4,263.4 - 329.2 (643),2016-2018
Alachua,FL,199.8,172.4 - 215.1 (641),2016-2018
Alamance,NC,188.1,172.4 - 215.1 (641),2016-2018
Alameda,CA,227.2,215.2 - 263.3 (645),2016-2018
Alamosa,CO,239.8,215.2 - 263.3 (645),2016-2018
Albany,NY,147.3,37.8 - 172.3 (647),2016-2018
Albany,WY,189.1,172.4 - 215.1 (641),2016-2018
Albemarle,VA,115.5,37.8 - 172.3 (647),2016-2018
Alcona,MI,255.2,215.2 - 263.3 (645),2016-2018
Alcorn,MS,128.8,37.8 - 172.3 (647),2016-2018
Aleutians East,AK,54.5,37.8 - 172.3 (647),2016-2018
Aleutians West,AK,125.8,37.8 - 172.3 (647),2016-2018
Alexander,NC,155.3,37.8 - 172.3 (647),2016-2018
Alexander,IL,159.9,37.8 - 172.3 (647),2016-2018
Alexandria,VA,135.5,37.8 - 172.3 (647),2016-2018
Alfalfa,OK,432.3,329.3 - 1136.3 (644),2016-2018
Alger,MI,128.9,37.8 - 172.3 (647),2016-2018
Allamakee,IA,306.4,263.4 - 329.2 (643),2016-2018
Allegan,MI,186.2,172.4 - 215.1 (641),2016-2018
Allegany,NY,186.5,172.4 - 215.1 (641),2016-2018
Allegany,MD,274.4,263.4 - 329.2 (643),2016-2018
Alleghany,VA,179.4,172.4 - 215.1 (641),2016-2018
Alleghany,NC,214.6,172.4 - 215.1 (641),2016-2018
Allegheny,PA,175.7,172.4 - 215.1 (641),2016-2018
Allen,KS,120.1,37.8 - 172.3 (647),2016-2018
Allen,LA,177.4,172.4 - 215.1 (641),2016-2018
Allen,KY,300.8,263.4 - 329.2 (643),2016-2018
Allen,IN,315.5,263.4 - 329.2 (643),2016-2018
Allen,OH,320.6,263.4 - 329.2 (643),2016-2018
Allendale,SC,413.3,329.3 - 1136.3 (644),2016-2018
Alpena,MI,308.8,263.4 - 329.2 (643),2016-2018
Alpine,CA,267.5,263.4 - 329.2 (643),2016-2018
Amador,CA,224.1,215.2 - 263.3 (645),2016-2018
Amelia,VA,176.4,172.4 - 215.1 (641),2016-2018
American Samoa,AS,552.3,329.3 - 1136.3 (644),2016-2018
Amherst,VA,179.3,172.4 - 215.1 (641),2016-2018
Amite,MS,611.5,329.3 - 1136.3 (644),2016-2018
Anchorage,AK,151.5,37.8 - 172.3 (647),2016-2018
Anderson,KS,207.9,172.4 - 215.1 (641),2016-2018
Anderson,KY,267.5,263.4 - 329.2 (643),2016-2018
Anderson,TX,285.8,263.4 - 329.2 (643),2016-2018
Anderson,TN,340.3,329.3 - 1136.3 (644),2016-2018
Anderson,SC,363.3,329.3 - 1136.3 (644),2016-2018
Andrew,MO,129.7,37.8 - 172.3 (647),2016-2018
Andrews,TX,526.8,329.3 - 1136.3 (644),2016-2018
Androscoggin,ME,133.8,37.8 - 172.3 (647),2016-2018
Angelina,TX,397.7,329.3 - 1136.3 (644),2016-2018
Anne Arundel,MD,241,215.2 - 263.3 (645),2016-2018
Anoka,MN,225.4,215.2 - 263.3 (645),2016-2018
Anson,NC,329.6,329.3 - 1136.3 (644),2016-2018
Antelope,NE,336.2,329.3 - 1136.3 (644),2016-2018
Antrim,MI,115,37.8 - 172.3 (647),2016-2018
Apache,AZ,257.7,215.2 - 263.3 (645),2016-2018
Appanoose,IA,264.3,263.4 - 329.2 (643),2016-2018
Appling,GA,314.6,263.4 - 329.2 (643),2016-2018
Appomattox,VA,214.7,172.4 - 215.1 (641),2016-2018
Aransas,TX,331.8,329.3 - 1136.3 (644),2016-2018
Arapahoe,CO,239.8,215.2 - 263.3 (645),2016-2018
Archer,TX,421.7,329.3 - 1136.3 (644),2016-2018
Archuleta,CO,48.7,37.8 - 172.3 (647),2016-2018
Arecibo,PR,323.8,263.4 - 329.2 (643),2016-2018
Arenac,MI,172.3,37.8 - 172.3 (647),2016-2018
Arkansas,AR,250.6,215.2 - 263.3 (645),2016-2018
Arlington,VA,91.2,37.8 - 172.3 (647),2016-2018
Armstrong,PA,181.1,172.4 - 215.1 (641),2016-2018
Armstrong,TX,264.2,263.4 - 329.2 (643),2016-2018
Aroostook,ME,161.4,37.8 - 172.3 (647),2016-2018
Arroyo,PR,370.6,329.3 - 1136.3 (644),2016-2018
Arthur,NE,124.9,37.8 - 172.3 (647),2016-2018
Ascension,LA,189.6,172.4 - 215.1 (641),2016-2018
Ashe,NC,251,215.2 - 263.3 (645),2016-2018
Ashland,WI,281,263.4 - 329.2 (643),2016-2018
Ashland,OH,382.5,329.3 - 1136.3 (644),2016-2018
Ashley,AR,202.3,172.4 - 215.1 (641),2016-2018
Ashtabula,OH,285.7,263.4 - 329.2 (643),2016-2018
Asotin,WA,212.3,172.4 - 215.1 (641),2016-2018
Assumption,LA,269.4,263.4 - 329.2 (643),2016-2018
Atascosa,TX,302.4,263.4 - 329.2 (643),2016-2018
Atchison,MO,98.8,37.8 - 172.3 (647),2016-2018
Atchison,KS,186.2,172.4 - 215.1 (641),2016-2018
Athens,OH,198.9,172.4 - 215.1 (641),2016-2018
Atkinson,GA,264.3,263.4 - 329.2 (643),2016-2018
Atlantic,NJ,269.9,263.4 - 329.2 (643),2016-2018
Atoka,OK,449.7,329.3 - 1136.3 (644),2016-2018
Attala,MS,196.6,172.4 - 215.1 (641),2016-2018
Audrain,MO,366.2,329.3 - 1136.3 (644),2016-2018
Audubon,IA,240.8,215.2 - 263.3 (645),2016-2018
Auglaize,OH,285.4,263.4 - 329.2 (643),2016-2018
Augusta,VA,152.5,37.8 - 172.3 (647),2016-2018
Aurora,SD,323.9,263.4 - 329.2 (643),2016-2018
Austin,TX,338.2,329.3 - 1136.3 (644),2016-2018
Autauga,AL,179.6,172.4 - 215.1 (641),2016-2018
Avery,NC,107.8,37.8 - 172.3 (647),2016-2018
Avoyelles,LA,649.7,329.3 - 1136.3 (644),2016-2018
Añasco,PR,323.3,263.4 - 329.2 (643),2016-2018
Baca,CO,153.4,37.8 - 172.3 (647),2016-2018
Bacon,GA,283.9,263.4 - 329.2 (643),2016-2018
Bailey,TX,252.7,215.2 - 263.3 (645),2016-2018
Baker,OR,163.4,37.8 - 172.3 (647),2016-2018
Baker,FL,237,215.2 - 263.3 (645),2016-2018
Baker,GA,314.6,263.4 - 329.2 (643),2016-2018
Baldwin,AL,143.4,37.8 - 172.3 (647),2016-2018
Baldwin,GA,418.7,329.3 - 1136.3 (644),2016-2018
Ballard,KY,149.3,37.8 - 172.3 (647),2016-2018
Baltimore City,MD,404.9,329.3 - 1136.3 (644),2016-2018
Baltimore County,MD,239.2,215.2 - 263.3 (645),2016-2018
Bamberg,SC,385.6,329.3 - 1136.3 (644),2016-2018
Bandera,TX,234.4,215.2 - 263.3 (645),2016-2018
Banks,GA,185.7,172.4 - 215.1 (641),2016-2018
Banner,NE,226.2,215.2 - 263.3 (645),2016-2018
Bannock,ID,251.1,215.2 - 263.3 (645),2016-2018
Baraga,MI,180.5,172.4 - 215.1 (641),2016-2018
Barber,KS,165.2,37.8 - 172.3 (647),2016-2018
Barbour,AL,217.2,215.2 - 263.3 (645),2016-2018
Barbour,WV,262.6,215.2 - 263.3 (645),2016-2018
