Obesity; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; U.S. Counties; 2009
Data downloaded on 12-November-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Autauga County,Alabama,01001,33.9,28.6,39.7
Baldwin County,Alabama,01003,25.7,22.5,28.8
Barbour County,Alabama,01005,37.1,31.8,42.4
Bibb County,Alabama,01007,34.1,28.8,39.7
Blount County,Alabama,01009,32.1,26.5,38.4
Bullock County,Alabama,01011,39.2,31.7,46.9
Butler County,Alabama,01013,41.3,35.8,47.2
Calhoun County,Alabama,01015,33.8,30.1,37.5
Chambers County,Alabama,01017,35.5,30,41.2
Cherokee County,Alabama,01019,31.1,24.6,38
Chilton County,Alabama,01021,35.3,29.5,41.3
Choctaw County,Alabama,01023,38.8,33.9,43.9
Clarke County,Alabama,01025,35.7,30.3,41.1
Clay County,Alabama,01027,34.8,28.2,41.7
Cleburne County,Alabama,01029,30.1,24,36.7
Coffee County,Alabama,01031,32.2,27.2,37.7
Colbert County,Alabama,01033,33.4,29,38.1
Conecuh County,Alabama,01035,33.5,27.5,39.8
Coosa County,Alabama,01037,34,27.3,40.9
Covington County,Alabama,01039,37.2,31.6,42.9
Crenshaw County,Alabama,01041,37.4,30.8,44.8
Cullman County,Alabama,01043,32.2,26.6,38.3
Dale County,Alabama,01045,35.6,30.5,41.1
Dallas County,Alabama,01047,41.9,37.5,46.2
Dekalb County,Alabama,01049,34,28,40
Elmore County,Alabama,01051,31.3,26.5,36.5
Escambia County,Alabama,01053,35.9,31.3,40.7
Etowah County,Alabama,01055,32.5,28.4,36.7
Fayette County,Alabama,01057,36.9,30.7,43.5
Franklin County,Alabama,01059,31.4,25.6,37.6
Geneva County,Alabama,01061,35.9,29.7,41.9
Greene County,Alabama,01063,47.9,40.7,55
Hale County,Alabama,01065,43.5,37.4,49.4
Henry County,Alabama,01067,34,28.1,40
Houston County,Alabama,01069,33.3,29.5,37.1
Jackson County,Alabama,01071,30.8,25.1,37.1
Jefferson County,Alabama,01073,31.9,29.5,34.2
Lamar County,Alabama,01075,32.6,26.9,39.2
Lauderdale County,Alabama,01077,33,29.2,37.1
Lawrence County,Alabama,01079,38,31.6,45.1
Lee County,Alabama,01081,29.8,25.4,34.6
Limestone County,Alabama,01083,31.3,25.9,37.1
Lowndes County,Alabama,01085,44.7,38.4,50.8
