FIPS,year,percent_65plus,percent_smokers,pct_diabetes,pct_obese,copd_death_rate,hypertension_death_rate,total_heart_disease_death_rate
01001,2010,12.047906815401749,28.139999999999997,11.2,30.4,69.75,276.1,613.6
01003,2010,16.80446939577963,23.09,10.2,26.8,46.41,197.2,515.9
01005,2010,14.282577670435833,22.68,13,37.4,57.89,182.6,664.4
01007,2010,12.84652383034543,,10.6,34.2,71.3,271.3,700.4
01009,2010,14.791899051868377,23.419999999999998,12.6,30.3,72.0,141.3,553.1
01011,2010,13.322912835601326,,16.1,41.9,43.34,374.8,613.9
01013,2010,16.706478119625455,27.51,13.9,38.9,61.53,270.4,700.0
01015,2010,14.388385919870277,26.779999999999998,12.7,33.3,73.99,106.9,649.2
01017,2010,16.807338374069516,17.48,13.1,35.6,68.82,285.9,678.5
01019,2010,17.97943226899819,27.310000000000002,11.4,31.8,76.87,150.6,591.3
01021,2010,13.627929351934576,26.919999999999998,11.6,38.3,76.02,147.5,636.5
01023,2010,18.311791465087733,17.16,14.4,39.4,49.49,224.4,663.6
01025,2010,16.273383528681208,20.13,13.6,36.3,57.1,269.4,596.6
01027,2010,17.642826305943302,23.54,12.6,35.8,64.62,71,671.3
01029,2010,15.855771794188216,,11.6,31.6,78.11,80.1,605.3
01031,2010,14.457855321861057,23.53,11.6,29.9,66.54,116.8,589.6
01033,2010,17.412515589465187,29.54,11.8,32.3,67.92,147.6,625.8
01035,2010,18.07948020550015,12.590000000000002,14.8,36.8,61.52,311.9,631.4
01037,2010,17.04584040747029,,13.2,34.4,65.25,173.6,575.0
01039,2010,18.429474463752015,28.07,11.5,34.4,62.25,158.9,586.7
01041,2010,16.014132237363903,,12.9,35.8,90.16,218.3,591.5
01043,2010,15.960276424381028,26.529999999999998,11.5,32.5,75.9,205,667.7
01045,2010,13.499622970988609,27.810000000000002,13,35.3,72.18,209.6,580.6
01047,2010,14.103616545811102,19.74,13.4,41.5,52.49,261.5,758.1
01049,2010,13.935612607675338,19.68,11.8,32.6,84.87,,
01051,2010,11.958216009654063,21.69,11.7,30.4,76.16,224.5,584.8
01053,2010,15.258834267831531,26.02,12,37.1,55.05,485.8,651.8
01055,2010,15.82343311729961,27.68,12.5,32,81.3,264.8,674.4
01057,2010,17.934877241859656,21.86,13.4,36.9,68.37,183.4,642.0
01059,2010,15.23971523971524,,12.9,34.5,89.53,252.4,753.1
01061,2010,17.444075139111924,,11.6,34.3,66.52,184.6,626.4
01063,2010,16.138360582805028,,16.2,48.3,42.68,121.6,705.8
01065,2010,15.173070816132107,,14.1,41.7,48.03,124.2,646.0
01067,2010,17.69195189639223,,12.1,34.9,59.23,205.2,625.1
01069,2010,14.501267215465925,21.4,11.9,35,55.19,181.9,566.6
01071,2010,16.582054753309265,35.480000000000004,11.6,30.2,78.18,130.7,664.4
01073,2010,13.14965474806864,23.119999999999997,10.9,31.9,51.48,219.1,525.7
01075,2010,18.83967991169978,22.02,11.5,31.6,73.01,214.9,591.0
01077,2010,16.81313822961709,18.75,11,32.6,61.15,151.7,511.2
01079,2010,14.687554597868498,26.840000000000003,12.4,37.7,77.77,181,684.1
01081,2010,9.10976320013637,23.830000000000002,10.7,31.8,59.15,259.9,455.3
01083,2010,12.36219809812337,19.36,10,33.7,55.63,186.1,558.4
01085,2010,14.748870581982459,,17,43.8,43.3,355.3,684.1
01087,2010,14.136247384329225,13.930000000000001,15.2,39.1,34.04,220.6,602.1
01089,2010,12.242967018253767,20.669999999999998,11,29.6,53.19,146.7,455.9
01091,2010,16.248329833937774,14.97,15.1,42,51.55,124.2,721.1
01093,2010,18.386552440290757,,11,33.4,73.96,115.5,645.2
01095,2010,14.908399733682694,29.42,12.2,31.8,90.64,124.1,636.1
01097,2010,12.978478884144055,24.740000000000002,11.2,33.8,52.27,234.4,590.9
01099,2010,15.813953488372093,21.13,11.9,36.1,53.24,325.5,628.9
01101,2010,11.984052635018845,19.0,13.9,35.1,53.61,311.8,525.2
01103,2010,14.165440438766637,26.57,10.8,28.4,66.73,218.1,634.3
01105,2010,16.785004260153364,,15.9,39.3,53.93,156.7,695.1
01107,2010,16.988201934275153,15.620000000000001,13.4,39,51.72,200.7,641.5
01109,2010,12.823779193205946,17.71,14.5,36,61.3,246,567.1
01111,2010,17.033613811745216,24.8,12.8,34.6,61.92,170.9,610.9
01113,2010,12.685433506498377,,12.4,36.4,70.06,538,554.0
01115,2010,13.164853836857283,29.56,12.4,32.7,77.1,,
01117,2010,10.666115736206333,20.34,8.7,29.3,47.38,137.5,437.0
01119,2010,14.916241806263656,,14.5,40.1,41.07,90.5,669.4
01121,2010,14.195833130506742,24.72,12.8,38.5,74.42,91.7,645.9
01123,2010,17.337737486739318,33.3,11.9,35.8,70.86,231.9,570.0
01125,2010,10.843299349730252,22.15,10.8,33,56.82,153.5,544.5
01127,2010,16.31565592489216,30.11,13.2,36.2,98.85,158,675.3
01129,2010,14.801997049812776,,11.8,36,52.63,361.9,651.1
01131,2010,15.121107266435988,,15.7,41.9,51.28,294.4,753.1
01133,2010,17.827298050139277,27.250000000000004,10.3,36.3,93.2,174.3,615.4
02013,2010,5.148452305748578,,8.9,32,28.59,51.6,226.9
02016,2010,3.5617916891527255,35.160000000000004,8.2,29.7,28.59,268.7,207.1
02020,2010,7.29542037562943,19.8,7.6,25.5,39.71,229.9,362.7
02050,2010,6.134394755326621,34.449999999999996,7.7,31.6,67.4,317.2,478.0
02060,2010,8.183632734530939,,7.9,30.1,56.69,,
02068,2010,7.738419618528611,23.2,6.6,23.5,51.78,170.8,487.7
02070,2010,7.443298969072165,38.629999999999995,8.5,31.4,60.84,247.4,501.6
02090,2010,6.576162175364325,21.349999999999998,7,28.8,44.56,175.8,398.1
02100,2010,14.074370251899241,19.89,6.8,28.4,42.68,159,364.9
02105,2010,13.906027527289986,,8.2,29.4,30.94,,
02110,2010,8.47484627393507,18.94,6.3,25.4,34.75,159,364.9
02122,2010,11.406919393743024,22.53,6,26.5,45.68,101.8,369.1
02130,2010,10.189346496721432,24.98,6.9,28.6,46.55,127,379.1
02150,2010,6.793199472372856,21.97,6.8,29.8,45.24,141.9,375.8
02158,2010,5.4506495245747955,,No Data,No Data,110.28,,
02164,2010,7.9316656497864555,,8.7,31.2,60.84,152.1,390.7
02170,2010,7.969286319261802,29.15,6.8,29,46.27,228,353.4
02180,2010,6.308288798071886,47.620000000000005,8.7,35.4,64.79,282.9,777.4
02185,2010,4.357459379615953,45.24,8.8,35.3,79.48,418,395.9
02188,2010,6.177248677248677,47.07,8.3,29.8,54.86,227.3,380.9
02195,2010,11.649580615097857,,6.4,29.8,46.55,,
02198,2010,10.223796490098213,,7.2,33,46.55,,
02220,2010,11.293773223736066,19.05,7.2,27.7,43.18,247,353.9
02230,2010,9.400826446280993,,6.7,29.3,30.94,,
02240,2010,9.375442571873673,25.7,6.5,30.9,35.22,201.6,448.7
02261,2010,8.335922129025578,26.200000000000003,6.4,27.4,44.62,161.4,401.2
02275,2010,15.942640236187264,,7,30.6,46.55,,
02282,2010,9.969788519637463,17.34,8.3,31.1,30.94,,
02290,2010,10.22808267997149,44.85,7.7,28.6,51.78,240.9,439.0
04001,2010,11.620654610254912,16.18,13.7,31.6,34.05,189.5,314.5
04003,2010,17.31501570299343,20.990000000000002,7.7,24.8,44.33,132.6,455.9
04005,2010,8.948682138293764,16.02,7.6,23,37.53,140.1,355.6
04007,2010,23.278131476260715,24.05,8.7,26.9,60.73,196.7,396.0
04009,2010,11.525624461670974,19.0,10.7,33.8,50.9,233.6,420.7
04011,2010,12.099772154934644,,8.6,34.1,50.62,185.9,388.8
04012,2010,32.956042347660635,14.790000000000001,10.1,34,42.76,190.6,431.5
04013,2010,12.194394409572535,19.42,7.7,22.7,42.06,201.2,362.4
04015,2010,23.470151861577325,30.39,9.2,28,65.41,175.6,550.7
04017,2010,13.325347966981438,18.56,10.4,32,41.52,186.8,392.0
04019,2010,15.510278926672235,17.61,7.1,24.1,44.82,148.5,386.3
04021,2010,13.966984441853473,19.97,9.8,31.5,45.51,187.7,367.6
04023,2010,13.274280291047136,18.57,5.6,20,26.19,145.9,329.2
04025,2010,24.245555329102345,20.330000000000002,7.1,23.9,48.52,199.6,367.6
04027,2010,15.673652011140026,15.709999999999999,8.8,31.5,42.76,225.3,354.5
