County,State,Value,Category Range,Year
Clearwater,ID,378.1,378.1 - 427.2 (645),2016-2018
Sitka,AK,378.1,378.1 - 427.2 (645),2016-2018
San Miguel,NM,378.2,378.1 - 427.2 (645),2016-2018
Goochland,VA,378.2,378.1 - 427.2 (645),2016-2018
Willacy,TX,378.4,378.1 - 427.2 (645),2016-2018
Yamhill,OR,378.5,378.1 - 427.2 (645),2016-2018
Renville,ND,378.6,378.1 - 427.2 (645),2016-2018
Howard,NE,378.6,378.1 - 427.2 (645),2016-2018
Granville,NC,378.7,378.1 - 427.2 (645),2016-2018
Gosper,NE,378.8,378.1 - 427.2 (645),2016-2018
Ohio,IN,378.9,378.1 - 427.2 (645),2016-2018
Edmunds,SD,378.9,378.1 - 427.2 (645),2016-2018
Mahnomen,MN,379,378.1 - 427.2 (645),2016-2018
Teton,MT,379.1,378.1 - 427.2 (645),2016-2018
Haskell,KS,379.1,378.1 - 427.2 (645),2016-2018
Snyder,PA,379.2,378.1 - 427.2 (645),2016-2018
Sedgwick,CO,379.3,378.1 - 427.2 (645),2016-2018
Cibola,NM,379.4,378.1 - 427.2 (645),2016-2018
Mercer,ND,379.5,378.1 - 427.2 (645),2016-2018
Mower,MN,379.6,378.1 - 427.2 (645),2016-2018
Dodge,MN,379.7,378.1 - 427.2 (645),2016-2018
Hardin,KY,379.7,378.1 - 427.2 (645),2016-2018
Kenai Peninsula,AK,379.8,378.1 - 427.2 (645),2016-2018
Jackson,WI,379.8,378.1 - 427.2 (645),2016-2018
Webb,TX,379.9,378.1 - 427.2 (645),2016-2018
Strafford,NH,380.1,378.1 - 427.2 (645),2016-2018
Fond du Lac,WI,380.3,378.1 - 427.2 (645),2016-2018
Kearney,NE,380.4,378.1 - 427.2 (645),2016-2018
Freeborn,MN,380.5,378.1 - 427.2 (645),2016-2018
Grant,WI,380.5,378.1 - 427.2 (645),2016-2018
Burnett,WI,380.5,378.1 - 427.2 (645),2016-2018
Burt,NE,380.6,378.1 - 427.2 (645),2016-2018
